date,marche,denree,unite,prix_gnf
2019-01-06,Conakry (Madina),huile,GNF/L,8873.0
2019-01-13,Conakry (Madina),huile,GNF/L,9137.0
2019-01-20,Conakry (Madina),huile,GNF/L,8988.0
2019-01-27,Conakry (Madina),huile,GNF/L,8737.0
2019-02-03,Conakry (Madina),huile,GNF/L,9038.0
2019-02-10,Conakry (Madina),huile,GNF/L,9237.0
2019-02-17,Conakry (Madina),huile,GNF/L,8826.0
2019-02-24,Conakry (Madina),huile,GNF/L,9137.0
2019-03-03,Conakry (Madina),huile,GNF/L,8981.0
2019-03-10,Conakry (Madina),huile,GNF/L,9100.0
2019-03-17,Conakry (Madina),huile,GNF/L,8970.0
2019-03-24,Conakry (Madina),huile,GNF/L,9156.0
2019-03-31,Conakry (Madina),huile,GNF/L,9125.0
2019-04-07,Conakry (Madina),huile,GNF/L,9366.0
2019-04-14,Conakry (Madina),huile,GNF/L,9641.0
2019-04-21,Conakry (Madina),huile,GNF/L,9649.0
2019-04-28,Conakry (Madina),huile,GNF/L,9350.0
2019-05-05,Conakry (Madina),huile,GNF/L,9180.0
2019-05-12,Conakry (Madina),huile,GNF/L,9467.0
2019-05-19,Conakry (Madina),huile,GNF/L,9553.0
2019-05-26,Conakry (Madina),huile,GNF/L,9309.0
2019-06-02,Conakry (Madina),huile,GNF/L,9897.0
2019-06-09,Conakry (Madina),huile,GNF/L,9948.0
2019-06-16,Conakry (Madina),huile,GNF/L,9945.0
2019-06-23,Conakry (Madina),huile,GNF/L,10055.0
2019-06-30,Conakry (Madina),huile,GNF/L,9805.0
2019-07-07,Conakry (Madina),huile,GNF/L,10022.0
2019-07-14,Conakry (Madina),huile,GNF/L,9976.0
2019-07-21,Conakry (Madina),huile,GNF/L,10013.0
2019-07-28,Conakry (Madina),huile,GNF/L,9742.0
2019-08-04,Conakry (Madina),huile,GNF/L,9624.0
2019-08-11,Conakry (Madina),huile,GNF/L,9921.0
2019-08-18,Conakry (Madina),huile,GNF/L,9709.0
2019-08-25,Conakry (Madina),huile,GNF/L,9919.0
2019-09-01,Conakry (Madina),huile,GNF/L,9655.0
2019-09-08,Conakry (Madina),huile,GNF/L,9680.0
2019-09-15,Conakry (Madina),huile,GNF/L,9961.0
2019-09-22,Conakry (Madina),huile,GNF/L,9565.0
2019-09-29,Conakry (Madina),huile,GNF/L,9889.0
2019-10-06,Conakry (Madina),huile,GNF/L,9626.0
2019-10-13,Conakry (Madina),huile,GNF/L,9363.0
2019-10-20,Conakry (Madina),huile,GNF/L,9638.0
2019-10-27,Conakry (Madina),huile,GNF/L,9347.0
2019-11-03,Conakry (Madina),huile,GNF/L,9168.0
2019-11-10,Conakry (Madina),huile,GNF/L,9643.0
2019-11-17,Conakry (Madina),huile,GNF/L,9434.0
2019-11-24,Conakry (Madina),huile,GNF/L,9212.0
2019-12-01,Conakry (Madina),huile,GNF/L,9646.0
2019-12-08,Conakry (Madina),huile,GNF/L,9660.0
2019-12-15,Conakry (Madina),huile,GNF/L,9405.0
2019-12-22,Conakry (Madina),huile,GNF/L,9536.0
2019-12-29,Conakry (Madina),huile,GNF/L,9792.0
2020-01-05,Conakry (Madina),huile,GNF/L,9657.0
2020-01-12,Conakry (Madina),huile,GNF/L,9694.0
2020-01-19,Conakry (Madina),huile,GNF/L,9929.0
2020-01-26,Conakry (Madina),huile,GNF/L,
2020-02-02,Conakry (Madina),huile,GNF/L,9719.0
2020-02-09,Conakry (Madina),huile,GNF/L,9834.0
2020-02-16,Conakry (Madina),huile,GNF/L,
2020-02-23,Conakry (Madina),huile,GNF/L,10301.0
2020-03-01,Conakry (Madina),huile,GNF/L,11254.0
2020-03-08,Conakry (Madina),huile,GNF/L,10740.0
2020-03-15,Conakry (Madina),huile,GNF/L,10934.0
2020-03-22,Conakry (Madina),huile,GNF/L,11094.0
2020-03-29,Conakry (Madina),huile,GNF/L,10500.0
2020-04-05,Conakry (Madina),huile,GNF/L,11312.0
2020-04-12,Conakry (Madina),huile,GNF/L,10859.0
2020-04-19,Conakry (Madina),huile,GNF/L,11018.0
2020-04-26,Conakry (Madina),huile,GNF/L,11170.0
2020-05-03,Conakry (Madina),huile,GNF/L,11265.0
2020-05-10,Conakry (Madina),huile,GNF/L,11272.0
2020-05-17,Conakry (Madina),huile,GNF/L,10775.0
2020-05-24,Conakry (Madina),huile,GNF/L,
2020-05-31,Conakry (Madina),huile,GNF/L,11699.0
2020-06-07,Conakry (Madina),huile,GNF/L,11848.0
2020-06-14,Conakry (Madina),huile,GNF/L,12006.0
2020-06-21,Conakry (Madina),huile,GNF/L,11829.0
2020-06-28,Conakry (Madina),huile,GNF/L,11796.0
2020-07-05,Conakry (Madina),huile,GNF/L,11750.0
2020-07-12,Conakry (Madina),huile,GNF/L,11343.0
2020-07-19,Conakry (Madina),huile,GNF/L,11799.0
2020-07-26,Conakry (Madina),huile,GNF/L,11806.0
2020-08-02,Conakry (Madina),huile,GNF/L,11530.0
2020-08-09,Conakry (Madina),huile,GNF/L,11829.0
2020-08-16,Conakry (Madina),huile,GNF/L,11954.0
2020-08-23,Conakry (Madina),huile,GNF/L,11734.0
2020-08-30,Conakry (Madina),huile,GNF/L,11113.0
2020-09-06,Conakry (Madina),huile,GNF/L,11461.0
2020-09-13,Conakry (Madina),huile,GNF/L,12011.0
2020-09-20,Conakry (Madina),huile,GNF/L,10882.0
2020-09-27,Conakry (Madina),huile,GNF/L,10630.0
2020-10-04,Conakry (Madina),huile,GNF/L,11018.0
2020-10-11,Conakry (Madina),huile,GNF/L,10714.0
2020-10-18,Conakry (Madina),huile,GNF/L,11055.0
2020-10-25,Conakry (Madina),huile,GNF/L,10831.0
2020-11-01,Conakry (Madina),huile,GNF/L,10825.0
2020-11-08,Conakry (Madina),huile,GNF/L,10841.0
2020-11-15,Conakry (Madina),huile,GNF/L,11148.0
2020-11-22,Conakry (Madina),huile,GNF/L,11214.0
2020-11-29,Conakry (Madina),huile,GNF/L,11095.0
2020-12-06,Conakry (Madina),huile,GNF/L,10324.0
